Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_23-kraken2_refseqV205_100GB-0.05,0.434553463,0.920500305,0.020361991,0.470431148,0.424974678,0.9,0.662487339,0.581488806,0.039823009,7665446,73.48843719,9.595226675,0.418511194,0.238635096,0.73861223,2.535380233,1127.833333,0.511339007,0.259032026,0.004327753,884,0.310655908
strain_sample_23-kraken2_refseqV205_100GB-0.10,0.128615218,0.95939142,0.165048544,0.562219982,0.131094385,0.85,0.490547193,0.230669355,0.276422764,10957611,37.85110865,13.56944376,0.769330645,0.251766873,0.750453902,2.403616987,103.6,0.499575652,0.359473087,0.038905589,103,0.253546059
strain_sample_23-kraken2_refseqV205_100GB-0.15,0.025128826,0.980071083,0.464285714,0.722178399,0.026165297,0.65,0.338082649,0.050969835,0.541666667,12209591,30.60662409,15.08555228,0.949030165,0.219705368,0.766814479,2.355459468,28,0.482931843,0.489969954,0.153158248,28,0.296318251
strain_sample_23-kraken2_refseqV205_100GB-0.20,0.003466022,0.95997226,0.642857143,0.801414702,0.003534971,0.45,0.226767485,0.007044003,0.529411765,12488347,25.47840913,16.75554696,0.992955997,0.463550496,0.745912264,2.29617354,14,0.504213213,0.603088913,0.281117745,14,0.268227884
strain_sample_23-kraken2_refseqV205_100GB-0.25,0.000525954,0.98557555,0.75,0.867787775,0.000550723,0.3,0.150275362,0.001100831,0.428571429,12523996,19.63844465,17.64948746,0.998899169,0.502458941,0.687842605,1.892174872,8,0.559269545,0.630724957,0.400439016,8,0.21483613
strain_sample_23-kraken2_refseqV205_100GB-0.30,4.06E-05,1,1,1,4.32E-05,0.1,0.050021587,8.63E-05,0.181818182,12530255,13.61856529,11.41605962,0.999913656,0.829877049,0.060871734,0.201480124,2,0.970879244,0.201480124,0.532408637,2,0.090952263
strain_sample_23-kraken2_refseqV205_100GB-0.35,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.60,0,0,0,0,0,0,0,0,0,12530796,14.25794429,0,1,0,0,0,0,0,0,0,0,0
