Sample name	Number of taxa
strain_sample_79-kraken2_refseqV205-0.70	42
strain_sample_79-kraken2_refseqV205-0.80	33
strain_sample_79-kraken2_refseqV205-0.85	29
strain_sample_79-kraken2_refseqV205-0.75	39
strain_sample_79-kraken2_refseqV205-0.95	21
strain_sample_79-kraken2_refseqV205-1.00	17
strain_sample_79-kraken2_refseqV205-0.90	25
mouse_sample_31-kraken2_refseqV205-0.25	524
mouse_sample_31-kraken2_refseqV205-0.40	252
mouse_sample_31-kraken2_refseqV205-0.15	1216
mouse_sample_31-kraken2_refseqV205-0.30	316
mouse_sample_31-kraken2_refseqV205-0.20	818
mouse_sample_31-kraken2_refseqV205-0.35	271
mouse_sample_31-kraken2_refseqV205-0.10	1845
mouse_sample_31-kraken2_refseqV205-0.05	4487
mouse_sample_31-kraken2_refseqV205-0.00	22268
mouse_sample_31-kraken2_refseqV205-1.00	127
mouse_sample_31-kraken2_refseqV205-0.95	142
mouse_sample_31-kraken2_refseqV205-0.85	163
mouse_sample_31-kraken2_refseqV205-0.90	152
mouse_sample_31-kraken2_refseqV205-0.80	169
mouse_sample_31-kraken2_refseqV205-0.45	233
mouse_sample_31-kraken2_refseqV205-0.65	189
mouse_sample_31-kraken2_refseqV205-0.60	198
mouse_sample_31-kraken2_refseqV205-0.70	180
mouse_sample_31-kraken2_refseqV205-0.75	175
mouse_sample_31-kraken2_refseqV205-0.55	203
mouse_sample_31-kraken2_refseqV205-0.50	217
strain_sample_72-kraken2_refseqV205-0.10	2342
strain_sample_72-kraken2_refseqV205-0.15	1411
strain_sample_72-kraken2_refseqV205-0.25	417
strain_sample_72-kraken2_refseqV205-0.30	150
strain_sample_72-kraken2_refseqV205-0.55	72
strain_sample_72-kraken2_refseqV205-0.45	87
strain_sample_72-kraken2_refseqV205-0.50	77
strain_sample_72-kraken2_refseqV205-0.20	794
strain_sample_72-kraken2_refseqV205-0.40	99
strain_sample_72-kraken2_refseqV205-0.35	112
strain_sample_72-kraken2_refseqV205-0.05	5637
strain_sample_72-kraken2_refseqV205-0.00	26042
strain_sample_72-kraken2_refseqV205-0.65	59
strain_sample_72-kraken2_refseqV205-0.70	51
strain_sample_72-kraken2_refseqV205-0.85	35
strain_sample_72-kraken2_refseqV205-0.90	33
strain_sample_72-kraken2_refseqV205-0.95	23
strain_sample_72-kraken2_refseqV205-0.60	62
strain_sample_72-kraken2_refseqV205-1.00	17
strain_sample_72-kraken2_refseqV205-0.75	48
strain_sample_72-kraken2_refseqV205-0.80	40
strain_sample_81-kraken2_refseqV205-0.10	2101
strain_sample_81-kraken2_refseqV205-0.05	4926
strain_sample_81-kraken2_refseqV205-0.00	24182
strain_sample_81-kraken2_refseqV205-0.45	76
strain_sample_81-kraken2_refseqV205-0.30	134
strain_sample_81-kraken2_refseqV205-0.50	70
strain_sample_81-kraken2_refseqV205-0.70	48
strain_sample_81-kraken2_refseqV205-0.35	105
strain_sample_81-kraken2_refseqV205-0.40	89
strain_sample_81-kraken2_refseqV205-0.65	55
strain_sample_81-kraken2_refseqV205-0.55	62
strain_sample_81-kraken2_refseqV205-0.60	57
strain_sample_81-kraken2_refseqV205-0.25	380
strain_sample_81-kraken2_refseqV205-0.15	1272
strain_sample_81-kraken2_refseqV205-0.20	726
strain_sample_81-kraken2_refseqV205-0.75	43
strain_sample_81-kraken2_refseqV205-1.00	19
strain_sample_81-kraken2_refseqV205-0.80	36
strain_sample_81-kraken2_refseqV205-0.85	31
strain_sample_81-kraken2_refseqV205-0.95	23
strain_sample_81-kraken2_refseqV205-0.90	29
strain_sample_65-kraken2_refseqV205-0.15	1400
