File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_standard_RM2_S002__insert_270.fasta.bowtie2out_0.10,0.09,0.00,0:00.03,7596, 12 ,251%
kraken2_standard_ani100_cHIGH_stTrue_r8_0.55,316.68,12.05,0:28.50,53121012, 12 ,1153%
kraken2_standard_ani99_cHIGH_stTrue_r2.fastq.bowtie2out_0.85,0.04,0.02,0:00.03,7552, 12 ,171%
kraken2_standard_ani100_cLOW_stTrue_r2.fastq.bowtie2out_0.35,0.05,0.02,0:00.04,7580, 12 ,177%
kraken2_standard_ABRF_MGRG_5ng_0.55,69.91,6.81,0:07.46,52888216, 12 ,1028%
kraken2_standard_ani95_cLOW_stTrue_r0.fastq.bowtie2out_0.55,0.05,0.00,0:00.03,7400, 12 ,151%
kraken2_standard_UnAmbiguouslyMapped_ds.nycsm.fastq.bowtie2out_0.80,0.03,0.00,0:00.02,6820, 12 ,125%
kraken2_standard_RH_S002__insert_270_0.45,2205.07,42.08,3:08.60,53067376, 12 ,1191%
kraken2_standard_HMP_even_illum_SRR172902.fastq.bowtie2out_0.50,0.05,0.00,0:00.03,7604, 12 ,152%
kraken2_standard_ani100_cLOW_stFalse_r7_0.95,342.33,14.76,0:30.80,52987968, 12 ,1159%
kraken2_standard_ani97_cLOW_stTrue_r7.fastq.bowtie2out_1.00,0.01,0.04,0:00.03,7536, 12 ,175%
